id,street,city,state,zipcode,country,latitude,longitude,is_location_exact
241032,"Gilman Dr W, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63628904,-122.3710252,t
953595,"7th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63912312,-122.3656665,t
3308979,"West Lee Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62972413,-122.3694832,t
7421966,"8th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.6384732,-122.3692791,t
278830,"14th Ave W, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.6329184,-122.3724706,t
5956968,"West Comstock Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63052548,-122.3661741,t
1909058,"10th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63660545,-122.3685191,t
856550,"West Wheeler Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.64016054,-122.375856,t
4948745,"Queen Anne Avenue North, Seattle, WA 98109, United States",Seattle,WA,98109,United States,47.6324103,-122.3572161,t
2493658,"7th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63749172,-122.3668886,t
175576,"1st Ave W, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63548171,-122.3584778,t
4454295,"3rd Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63721408,-122.3600458,t
3883392,"West Howe Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63554551,-122.3731708,t
8889257,"West Prospect Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62950681,-122.3676293,t
5680462,"7th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63920266,-122.3658627,t
8988178,"12th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63564979,-122.3728928,f
3245876,"West Mercer Place, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62620037,-122.3666019,t
4933447,"12th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.64064588,-122.3724059,t
7735464,"11th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63977587,-122.3722354,t
6291829,"1st Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63602478,-122.3586936,t
9218403,"West Olympic Place, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62794034,-122.3649587,f
4125779,"2nd Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63637426,-122.3610334,t
8942678,"1st Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63563222,-122.3588809,t
10106055,"West Galer Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63339396,-122.3719199,t
6362362,"10th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63851671,-122.369581,t
3544550,"7th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63139735,-122.3677669,t
9025039,"West McGraw Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63875224,-122.3679727,t
3200646,"West Wheeler Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63926602,-122.3747258,t
8859380,"9th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62990712,-122.3689481,t
4520099,"14th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63981587,-122.3743385,t
2481869,"7th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63900778,-122.3653201,t
1110749,"5th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63508504,-122.3644435,t
5978498,"11th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.64063323,-122.3727094,t
5021081,"14th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63812149,-122.37579,t
1686930,"West Galer Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62981553,-122.3662123,t
7680289,"12th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63981019,-122.3738006,t
7207641,"3rd Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63556952,-122.3616526,t
5062445,"West Howe Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63497873,-122.3588694,t
8925878,"12th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.6393621,-122.3724026,t
6389657,"Queen Anne Avenue North, Seattle, WA 98109, United States",Seattle,WA,98109,United States,47.63461628,-122.3580227,t
4218733,"W. Crockett St., Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63800138,-122.3610048,t
2715623,"-11th Ave. W., Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63199585,-122.3716577,t
1392332,"11th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63868624,-122.3707999,t
7308567,"3rd Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63365004,-122.3604497,t
6575380,"1st Avenue North, Seattle, WA 98109, United States",Seattle,WA,98109,United States,47.63430018,-122.3570598,t
6004058,"West Olympic Place, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.62834387,-122.3664054,t
9550869,"10th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63539394,-122.3689911,t
8515408,"3rd Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63803516,-122.3609101,t
5383192,"West Boston Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63933159,-122.3615994,t
1112092,"6th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63530805,-122.3665317,t
7772661,"10th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63737488,-122.3694109,t
9254900,"13th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63829757,-122.3737787,f
7714294,"10th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63175344,-122.3712717,t
10310373,"14th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63858056,-122.3753257,t
9368342,"8th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63788372,-122.3673711,t
6361863,"3rd Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63751735,-122.3608117,t
8105221,"Gilman Drive West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63687418,-122.3722717,t
3269390,"6th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63256274,-122.3672228,t
4566393,"7th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63532192,-122.3661211,t
9282409,"9th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63263391,-122.3693184,t
8095168,"10th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63260004,-122.3699524,t
2746782,"West Wheeler Street, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.64105215,-122.3750817,t
6424982,"9th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.63140095,-122.3676901,t
762029,"W Wheeler St, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.64152493,-122.3761504,t
8988281,"5th Avenue West, Seattle, WA 98119, United States",Seattle,WA,98119,United States,47.6353107,-122.3635056,t
7077910,"28th Ave NW, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66932717,-122.3925936,f
3772674,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67407416,-122.3938641,t
7021906,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67362807,-122.389302,t
7618605,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66845996,-122.379516,t
10234558,"NW 57th St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67066232,-122.3786659,f
7021702,"Northwest 59th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67264618,-122.389333,t
7680439,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67317538,-122.3822596,t
4258515,"Northwest Market Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.667933,-122.3786525,t
1148517,"26th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67296864,-122.3973382,t
2487892,"26th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66862742,-122.3894959,t
3038772,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67011138,-122.3938693,t
699460,"NW 60th St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.6716905,-122.3852391,t
4085439,"Northwest 59th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67083618,-122.3925371,t
8053990,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67088677,-122.3930293,t
7011773,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67011497,-122.3929944,t
2467550,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67430793,-122.3767423,t
2686374,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67125039,-122.3826391,t
1956274,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66869206,-122.3960894,t
8537192,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67180552,-122.3880471,t
5919096,"Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.6714184,-122.3853854,t
6516529,"22nd Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66874895,-122.38387,t
3294243,"24th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67268172,-122.3877307,t
10210971,"Northwest 58th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66968185,-122.3909885,f
3584790,"Northwest 65th Street, Seattle, WA 98117, United States",Seattle,WA,98117,United States,47.67504404,-122.3827149,t
1266459,"Northwest 57th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66797917,-122.3821054,t
9098059,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67324985,-122.3873317,t
408526,"NW 63rd St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67553327,-122.376324,t
4118282,"24th Avenue Northwest, Seattle, WA 98117, United States",Seattle,WA,98117,United States,47.67570811,-122.3875594,t
6813483,"Northwest 62nd Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67477103,-122.3858305,t
6590264,"Northwest Market Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66987432,-122.3877174,t
2650482,"Northwest 58th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67097576,-122.3878253,t
20927,"NW 60th St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67333939,-122.3951203,t
4395578,"20th Ave NW and NW 59th St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67100489,-122.3813814,f
4995903,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67170353,-122.3763381,t
5549211,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67175997,-122.3900201,t
8240758,"24th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67481867,-122.3875212,t
6856295,"Northwest 62nd Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67300401,-122.3850048,t
6881188,"28th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67039453,-122.393897,t
1579615,"Northwest 64th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67582152,-122.3897101,t
3766866,"Northwest 58th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67228446,-122.3823135,t
2406966,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67227237,-122.3841322,t
4872699,"Northwest 63rd Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67575024,-122.3765799,t
5470629,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67260212,-122.3884415,t
2950213,"20th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66676678,-122.3812427,t
9015088,"Northwest 65th Street, Seattle, WA 98117, United States",Seattle,WA,98117,United States,47.67550084,-122.3889063,t
3979496,"Northwest 64th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67575764,-122.3787983,t
7501919,"Northwest Market Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66780059,-122.3883002,t
4732995,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66937129,-122.3762878,t
7134759,"Northwest 56th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66896088,-122.3938769,t
4532538,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67168771,-122.3925586,t
7534398,"20th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67180998,-122.3834372,t
9387189,"Ballard Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66502233,-122.3827968,t
6337492,"NW 56th St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66898921,-122.3951453,f
10231701,"Northwest 57th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.6693543,-122.3903476,t
1609922,"Northwest 58th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67166568,-122.3779123,t
4236723,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67058142,-122.3822112,t
7843837,"22nd Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67210896,-122.3835885,t
3076065,"17th Avenue Northwest, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67145807,-122.3791745,t
6423204,"Northwest 57th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67155977,-122.382704,t
8338849,", Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67283504,-122.3874716,t
6401209,"Northwest 61st Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67397129,-122.3893805,t
20928,"Nw 60th St, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.6736071,-122.3938029,t
3344977,"Northwest 57th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66939869,-122.389254,t
7604621,"Northwest Brygger Place, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.6721767,-122.3903617,t
3303978,"Northwest 60th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67349962,-122.3869636,f
7067082,"Ballard Ave NW, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66934443,-122.3865391,f
3121829,"Northwest 58th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.6719218,-122.3806568,t
2539881,"Northwest Market Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66934544,-122.3969735,t
3678718,"Northwest Market Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.66746398,-122.3782553,t
4694479,"Northwest 58th Street, Seattle, WA 98107, United States",Seattle,WA,98107,United States,47.67181197,-122.3889813,t
